employee_id,first_name,last_name,date_of_birth,hire_date
81,Clara,Robert,1989-02-04,2022-02-13
82,Viktor,Eklund,1986-08-03,2019-10-21
83,Henry,Roberts,1975-02-17,2010-01-17
84,Paula,Moreno,1983-07-29,2020-12-05
85,Adrian,Rodriguez,1997-07-24,2022-11-04
86,Pablo,Moreno,1989-12-30,2018-10-29
87,Pablo,Sanchez,1962-06-14,2008-09-19
88,Frida,Aberg,1991-08-06,2023-06-30
89,Viktor,Gustafsson,1995-12-18,2023-08-28
90,Jonas,Kruger,1980-06-30,2011-07-24
91,Daniel,Jimenez,1994-04-01,2019-09-18
92,Camille,Petit,1979-12-09,2008-08-19
93,Anna,Pettersson,1989-05-06,2020-02-24
94,Sara,Poulsen,1991-02-16,2018-09-03
95,Linnea,Eriksson,1984-02-04,2019-06-22
96,Emma,Kristensen,1976-12-22,2011-06-09
97,Alva,Johansson,1988-09-03,2018-02-05
98,Josephine,Olsen,1990-02-27,2019-02-04
99,Matilda,Pettersson,1991-01-24,2013-03-12
100,Noah,Larsson,1993-10-26,2023-06-06
101,Axel,Aberg,1990-04-09,2019-07-29
102,Hugo,Martin,1995-09-22,2017-03-02
103,Axel,Hakansson,1995-08-12,2020-04-17
104,Agnes,Hakansson,1997-07-28,2022-05-15
105,Anna,Bjork,1991-08-30,2021-05-04
106,William,Andersen,1991-04-18,2018-02-16
107,Maxime,Thomas,1979-06-11,2018-09-26
108,Martin,Lopez,1989-10-22,2022-08-10
109,Sofie,Pedersen,1995-03-05,2020-12-17
110,Nathan,Brown,1989-05-08,2018-04-27
111,Frida,Persson,1996-08-30,2023-04-16
112,Johan,Bergstrom,1987-01-02,2019-05-28
113,Linnea,Pettersson,1990-03-21,2021-02-15
114,Oliver,Evans,1997-12-25,2020-06-15
115,Adrian,Gonzalez,1989-11-28,2022-01-10
116,Ebba,Lindberg,1987-12-03,2018-06-03
117,Alva,Andersson,1992-01-22,2017-07-07
118,Klara,Nystrom,1992-12-22,2020-10-05
119,Matilda,Lindberg,1975-04-30,2007-03-29
120,Liam,Roberts,1984-05-02,2019-07-05
121,Johan,Olsson,1993-10-09,2018-12-23
122,Viktor,Larsson,2000-03-28,2022-06-20
123,Amelia,Allen,1984-07-07,2019-05-31
124,Emma,Dubois,1984-07-04,2016-04-24
125,Sara,Andersson,1998-09-03,2020-05-01
126,Johanna,Zimmermann,1996-05-02,2022-04-18
127,Lena,Schmidt,1992-03-21,2022-06-25
128,Oceane,Lambert,1981-12-19,2013-04-06
129,Valeria,Alvarez,1987-09-02,2018-01-12
130,Anna,Andersson,1994-07-28,2020-01-24
131,Louis,Dubois,1987-03-12,2020-02-15
132,Lukas,Eriksson,1989-10-17,2019-02-22
133,Klara,Pettersson,1998-07-28,2020-04-05
134,Lea,Lefebvre,1983-09-16,2019-02-17
135,Agnes,Eklund,1993-12-07,2019-11-07
136,Simon,Lindberg,1990-08-24,2016-02-18
137,Lena,Schwarz,1998-10-07,2022-04-21
138,Agnes,Gustafsson,1965-01-31,2014-08-15
139,Anna,Nielsen,1986-07-01,2022-03-29
140,Adrien,Lambert,1999-03-04,2022-12-27
141,Sara,Gonzalez,2000-01-04,2023-03-19
142,Anna,Olsson,1995-08-31,2022-06-24
143,Hugo,Andersson,1965-11-29,2010-03-17
144,Noah,Taylor,1968-03-20,2008-01-05
145,Manuel,Alvarez,1996-02-29,2021-10-22
146,Erik,Bergstrom,1989-07-19,2019-01-31
147,Frida,Karlsson,1993-07-06,2021-03-13
148,Thea,Madsen,1994-05-17,2020-12-01
149,Javier,Martinez,1978-02-20,2007-09-26
150,Noah,Olsson,1972-08-24,2010-08-23
151,Liam,Roberts,1983-01-10,2008-10-29
152,Freja,Jorgensen,1995-02-07,2022-03-23
153,Emil,Sandberg,1999-12-02,2021-11-17
154,Mathias,Johansen,1994-10-30,2022-03-21
155,Emilia,Meyer,1989-01-12,2022-02-28
156,Clara,Rasmussen,1992-03-10,2014-08-08
157,Adrian,Sanchez,1975-12-25,2009-03-01
158,Axel,Svensson,1987-06-15,2022-12-16
159,Alma,Pedersen,1985-03-07,2018-04-01
160,Matilda,Gustafsson,1988-04-19,2018-06-22
161,Viktor,Johansson,1990-08-09,2020-12-17
162,Mikkel,Johansen,1978-11-23,2012-06-13
163,Sarah,Durand,2001-07-05,2023-06-20
164,Maja,Nilsson,1991-04-15,2022-03-12
165,Anna,Lindberg,1986-07-19,2012-07-22
166,Elin,Olsson,1982-10-15,2011-11-16
167,Alejandro,Martin,1987-05-02,2021-03-18
168,Frida,Olsson,1987-10-29,2017-09-12
169,Hugo,Gustafsson,1997-03-21,2022-04-05
170,Linnea,Holm,1995-11-09,2022-03-30
171,Anna,Eklund,1960-01-31,2009-07-06
172,Alvaro,Perez,1998-10-09,2020-11-01
173,Manuel,Gomez,1988-03-17,2018-12-24
174,Anna,Schwarz,1998-07-10,2020-10-28
175,Erik,Gustafsson,1977-01-24,2019-06-24
176,Erik,Olsson,1976-02-26,2007-05-17
177,Maja,Pettersson,1998-12-16,2023-07-30
178,Clara,Poulsen,1992-12-12,2020-07-13
179,Joel,Lindberg,1996-09-27,2019-01-25
180,Adrian,Moreno,1991-07-28,2023-01-13
181,Mario,Martinez,1995-12-21,2020-03-08
182,Anna,Poulsen,1992-12-10,2020-10-12
183,Alva,Aberg,1981-11-14,2010-08-12
184,Alba,Perez,1982-03-17,2018-03-04
185,Johan,Aberg,1973-10-28,2011-11-20
186,Noah,Nielsen,1987-06-29,2019-05-26
187,Erik,Aberg,1987-12-02,2019-06-02
188,Thomas,Martin,1993-07-22,2022-07-27
189,Pablo,Garcia,1984-04-30,2019-12-15
190,Mila,Thomas,1993-06-18,2023-03-17
191,Noah,Hakansson,1995-05-06,2022-01-09
192,Paula,Rodriguez,1984-02-06,2015-09-13
193,Emily,Davies,1985-07-29,2018-09-07
194,Anna,Wagner,1970-07-18,2010-09-25
195,Oscar,Madsen,1970-01-14,2008-09-16
196,Martin,Gomez,1986-12-01,2019-09-16
197,Noah,Muller,1989-08-17,2021-06-06
198,Jules,Bernard,1983-05-10,2019-03-11
199,Sofia,Martin,1991-09-26,2021-08-22
200,Laura,Hoffmann,1993-01-21,2019-03-23
201,Clara,Durand,1994-07-10,2021-09-20
202,Elin,Eklund,2001-07-09,2023-10-30
203,Noa,Garcia,1997-07-07,2021-09-15
204,Anna,Christensen,1989-11-30,2018-03-10
205,Lucia,Rodriguez,1978-09-16,2018-07-24
206,Oliver,Hall,1995-02-28,2023-03-22
207,Tim,Wolf,2001-09-26,2023-11-13
208,Hugo,Sandberg,1988-09-29,2020-06-18
209,Emil,Svensson,2000-07-17,2023-03-03
210,Lena,Kruger,1996-04-15,2023-05-24
211,Max,Schneider,1991-04-16,2020-10-25
212,Joel,Eriksson,1993-02-17,2021-11-29
213,Anna,Schneider,1984-04-18,2019-06-08
214,Noah,Lindberg,1989-11-14,2021-01-06
215,Erik,Andersson,1997-01-25,2023-09-26
216,Maxime,Leroy,1981-11-04,2018-04-17
217,Diego,Diaz,1994-05-10,2020-11-15
218,Emil,Nielsen,1997-09-22,2023-03-06
219,Emily,White,1981-08-09,2019-10-01
220,Martin,Gomez,1991-11-02,2018-01-28
221,Frida,Gustafsson,1991-04-14,2018-12-31
222,Joel,Lundqvist,1998-04-05,2020-06-01
223,Manon,Moreau,1989-05-01,2017-08-29
224,Freja,Rasmussen,1998-01-17,2023-03-22
225,Oscar,Persson,1973-11-12,2019-04-30
226,Frida,Holm,1999-03-16,2021-07-20
227,Erik,Eklund,1992-10-02,2019-06-21
228,Hugo,Diaz,1988-02-15,2022-05-23
229,Alva,Lundqvist,1990-02-18,2021-03-15
230,Sara,Andersson,2001-09-11,2023-09-13
231,Felix,Bauer,2000-01-16,2022-03-22
232,Martin,Ruiz,1998-11-21,2023-05-30
233,Hannah,Neumann,1982-03-28,2021-08-05
234,Alva,Larsson,1992-05-13,2022-05-25
235,Linnea,Bergstrom,2000-10-14,2022-06-19
236,Joel,Sandberg,1979-02-10,2010-08-31
237,Sienna,Brown,1997-06-08,2020-07-08
238,Axel,Eklund,1990-04-22,2022-10-22
239,Ella,Evans,1986-07-03,2018-04-28
240,Maja,Hakansson,1994-10-26,2020-08-04
241,Alma,Madsen,1990-02-03,2021-11-16
242,Hannah,Bauer,1988-12-11,2014-07-27
243,Agnes,Gustafsson,1995-12-31,2022-12-16
244,Lukas,Lundqvist,1997-11-27,2023-12-28
245,Simon,Sandberg,1980-09-29,2018-11-16
246,Sofia,Bergstrom,1993-11-24,2023-07-20
247,Noah,Schneider,2000-02-23,2023-08-02
248,Nora,Svensson,1996-02-14,2023-08-23
249,Chloe,Simon,1991-10-11,2021-09-04
250,Antoine,Bonnet,1983-02-25,2015-06-18
251,Hannah,Wolf,1991-11-02,2021-01-23
252,Elena,Martinez,1970-09-01,2010-08-24
253,Anna,Pettersson,1969-07-27,2013-03-06
254,Klara,Eklund,1999-04-24,2021-08-12
255,Chloe,Girard,1989-10-16,2021-10-04
256,Axel,Sandberg,1992-10-25,2016-05-06
257,Josephine,Christensen,1968-05-26,2015-08-15
258,Hugo,Eriksson,1987-04-13,2018-05-12
259,Oscar,Lindberg,2001-09-14,2023-02-07
260,Johan,Nystrom,1999-01-17,2023-03-04
261,Amelia,Roberts,1992-06-18,2021-06-02
262,Alva,Andersson,1998-06-01,2020-03-31
263,Javier,Rodriguez,1998-04-25,2023-05-25
264,Hugo,Johansson,1994-10-07,2021-04-17
265,Emil,Sandberg,1992-09-08,2022-07-05
266,Adrien,Richard,1993-12-23,2021-06-08
267,Tim,Koch,1982-09-03,2009-01-25
268,Maxime,Petit,1992-06-07,2016-05-25
269,Axel,Bergstrom,1990-05-27,2019-06-01
270,Elena,Hernandez,1992-03-26,2023-04-17
271,Nathan,White,1992-11-19,2016-03-13
272,Henry,Taylor,1999-05-05,2023-09-26
273,Hugo,Bergstrom,1973-12-07,2010-04-05
274,Noah,Fischer,1993-06-12,2020-03-04
275,Sara,Eklund,1994-07-21,2018-01-11
276,Alvaro,Moreno,1990-08-03,2019-12-13
277,Lukas,Olsson,1981-07-09,2018-12-29
278,Frida,Johansson,1990-01-02,2020-09-11
279,Klara,Nilsson,1989-09-04,2018-12-22
280,Claudia,Lopez,1985-05-23,2015-02-07
281,Marie,Lambert,1979-02-11,2015-04-13
282,Ida,Persson,1998-11-12,2021-12-01
283,Agnes,Lindberg,1997-10-20,2022-07-04
284,Mila,Young,1981-02-20,2015-01-29
285,Oscar,Sandberg,2000-08-03,2023-04-19
286,Matilda,Nilsson,1985-02-16,2018-07-21
287,Clara,Nielsen,1991-01-04,2020-07-25
288,James,Smith,1988-07-19,2022-06-14
289,Alba,Rodriguez,1988-12-20,2019-04-20
290,Manon,Richard,1989-08-06,2020-07-27
291,Agnes,Karlsson,1986-05-23,2013-04-20
292,Johan,Svensson,1978-08-24,2019-12-11
293,Viktor,Nilsson,1977-10-09,2018-10-12
294,Noah,Bauer,1994-07-03,2022-02-01
295,Elias,Richter,1970-05-16,2009-10-16
296,Erik,Aberg,1993-04-22,2020-12-22
297,Alba,Jimenez,1995-04-20,2022-11-28
298,Noah,Bergstrom,1990-08-18,2020-08-09
299,Alejandro,Martin,1986-01-20,2019-03-05
300,Sofia,Aberg,1970-10-18,2015-08-28
301,Hugo,Lundqvist,1985-01-18,2018-07-13
302,Johanna,Hartmann,2000-03-15,2022-08-29
303,Thea,Jensen,1992-10-25,2018-02-24
304,Noa,Alvarez,1999-01-29,2022-01-21
305,Hugo,Alvarez,2000-08-18,2023-11-05
306,Adrian,Ruiz,1986-11-13,2012-04-12
307,James,Wilson,1997-11-28,2023-06-30
308,Margaux,David,1983-08-12,2021-07-11
309,Henry,Allen,1989-08-05,2021-08-04
310,Sara,Pedersen,1975-08-17,2011-03-28
311,Sara,Ruiz,1990-03-24,2020-06-28
312,Simon,Lundqvist,1993-05-17,2015-08-17
313,Camille,Lefebvre,1996-07-22,2018-05-27
314,Anna,Lundqvist,1983-12-14,2013-08-01
315,Agnes,Karlsson,1989-05-30,2017-11-02
316,Chloe,Wilson,1994-05-15,2021-11-10
317,Alva,Karlsson,1995-12-07,2022-04-05
318,Marie,Dubois,1998-12-01,2022-10-24
319,Joel,Eklund,1980-09-17,2015-03-06
320,Sofia,Moreno,1975-03-18,2013-07-27
321,Noah,Pettersson,1996-12-16,2023-10-08
322,Valeria,Alvarez,1987-02-08,2017-07-31
323,Leon,Koch,1992-10-02,2019-06-05
324,Mila,Roberts,1990-10-31,2022-11-17
325,Margaux,Roux,1991-02-06,2019-03-18
326,Alejandro,Diaz,1993-09-09,2020-03-15
327,Elin,Johansson,1977-08-08,2015-09-21
328,Elias,Weber,1987-11-16,2022-08-28
329,Julie,Dupont,1992-01-28,2014-06-11
330,Agnes,Johansson,1988-03-03,2023-09-06
331,Javier,Moreno,1985-08-29,2010-06-17
332,Johan,Bjork,1985-09-20,2019-03-31
333,Jonas,Wolf,1982-06-22,2011-12-03
334,Sophie,Kruger,1999-11-21,2023-01-20
335,Sarah,Morel,1990-05-21,2021-10-26
336,Emily,Wilson,1987-06-09,2021-08-12
337,Hugo,Nilsson,1975-09-25,2010-07-06
338,Frida,Bjork,1987-06-17,2018-04-08
339,Ebba,Larsson,1978-03-24,2007-02-10
340,Clara,Laurent,1998-11-18,2020-01-21
341,Maja,Andersson,1984-08-10,2018-12-31
342,Ida,Aberg,1989-03-30,2022-03-05
343,Axel,Nystrom,1991-04-18,2022-07-23
344,Paul,Weber,2000-01-28,2023-09-21
345,Marie,Wagner,1995-05-09,2021-06-06
346,Ebba,Lundqvist,1976-12-02,2006-04-12
347,Tim,Muller,1995-05-12,2020-11-06
348,Mario,Martinez,1984-07-01,2018-01-12
349,Emilia,Schmidt,1983-12-06,2014-12-05
350,Jules,Richard,1981-04-06,2014-02-17
351,Louis,Simon,1984-01-09,2016-11-18
352,Elias,Kruger,1992-06-20,2019-05-04
353,Claudia,Perez,1998-04-18,2020-02-17
354,Hannah,Fischer,1972-07-04,2008-09-07
355,Paul,Meyer,1986-01-12,2018-12-01
356,Chloe,Robert,1988-07-23,2022-03-02
357,Joel,Aberg,1984-06-04,2012-09-16
358,Hugo,Johansson,1990-09-09,2022-01-06
359,Mikkel,Poulsen,1996-07-31,2021-03-28
360,Linnea,Nystrom,1989-03-16,2021-01-26
361,Lucia,Romero,1984-09-21,2018-07-02
362,Frida,Bergstrom,1990-01-22,2021-10-04
363,Oceane,Morel,1978-12-10,2018-01-16
364,Elin,Nystrom,1973-04-29,2010-11-07
365,Max,Schmidt,1972-12-31,2006-09-08
366,Pablo,Diaz,1990-04-22,2022-06-20
367,Sara,Olsen,1979-02-05,2006-01-29
368,Ida,Hansen,1996-01-28,2018-09-02
369,Marie,Hoffmann,1982-07-03,2022-11-07
370,Noa,Ruiz,1984-08-17,2012-07-09
371,Ebba,Lindberg,1993-08-17,2023-08-13
372,Charlotte,Becker,1994-01-06,2023-07-27
373,Lukas,Nilsson,1997-10-14,2019-03-08
374,James,Brown,1977-04-08,2007-08-08
375,Johan,Hakansson,1988-03-13,2020-08-21
376,Maja,Olsson,1987-06-18,2015-10-10
377,Viktor,Sandberg,1997-08-22,2020-03-17
378,Carmen,Gomez,1976-03-23,2010-01-11
379,Claudia,Gonzalez,1977-08-29,2007-07-18
380,Simon,Larsson,1991-11-21,2021-08-26
381,Luisa,Klein,1992-12-13,2018-08-14
382,Elin,Sandberg,2001-01-01,2023-03-27
383,Anna,Persson,1986-10-22,2019-12-28
384,Alejandro,Lopez,1993-01-03,2015-03-29
385,Felix,Weber,1988-04-08,2020-04-29
386,Alexandre,Lambert,1987-11-19,2018-06-09
387,Emilia,Muller,1986-07-15,2020-06-11
388,Ella,Smith,2000-11-04,2023-04-18
389,Viktor,Nielsen,1990-12-03,2020-08-09
390,Elin,Bjork,1998-08-12,2021-05-03
391,Ethan,Walker,1981-11-08,2011-06-05
392,Klara,Johansson,1977-09-14,2013-11-19
393,Mila,King,1990-11-21,2020-09-01
394,Lukas,Pettersson,1992-07-19,2021-04-14
395,Tim,Neumann,1989-09-18,2022-09-08
396,Manon,Durand,1982-03-05,2019-08-16
397,Simon,Lundqvist,1968-02-17,2010-11-14
398,Max,Neumann,1972-10-11,2014-05-11
399,Manon,Petit,2001-06-11,2023-06-20
400,Maja,Lindberg,1990-11-05,2016-07-11
401,Paul,Bonnet,1979-03-24,2017-11-03
402,Oceane,Morel,1977-02-28,2014-09-13
403,Marie,Robert,1981-06-22,2019-12-01
404,Liam,Young,1980-01-25,2012-04-05
405,Charlotte,Weber,1989-09-20,2011-03-02
406,Agnes,Karlsson,1993-05-27,2022-04-24
407,Ebba,Bjork,1969-02-23,2011-08-12
408,Marie,Kruger,1995-07-03,2021-06-01
409,Maja,Persson,1999-10-05,2021-06-10
410,Oceane,Leroy,1990-07-15,2019-12-01
411,Matilda,Bergstrom,1982-02-19,2012-10-04
412,Sara,Svensson,1989-09-06,2011-08-09
413,Sofia,Andersson,1981-02-03,2013-12-06
414,Nicolas,Bernard,1985-02-15,2012-09-15
415,Emma,Kristensen,1994-07-07,2019-04-29
416,James,Taylor,1996-03-24,2020-11-06
417,Andreas,Madsen,1996-07-01,2020-06-04
418,Noah,Holm,1997-03-23,2019-12-05
419,Baptiste,Dubois,1995-04-28,2020-02-02
420,Joel,Eriksson,1969-09-17,2012-10-27
421,Ebba,Aberg,1975-09-23,2015-10-28
422,Viktor,Olsen,2000-10-06,2023-06-30
423,Matilda,Eklund,1988-02-05,2019-05-31
424,Maja,Persson,1991-09-21,2018-02-08
425,Moritz,Schwarz,1986-05-18,2013-01-03
426,Ida,Lundqvist,1982-03-09,2020-08-31
427,Agnes,Karlsson,1996-10-07,2020-09-15
428,Sara,Garcia,1989-01-05,2018-03-25
429,Sofia,Karlsson,1993-05-16,2021-11-11
430,Sienna,Johnson,1992-02-07,2020-07-22
431,Frida,Eriksson,1996-05-17,2023-01-30
432,Josephine,Jensen,1995-08-01,2022-12-15
433,Mathias,Rasmussen,2000-04-18,2022-05-27
434,Noah,Svensson,1997-01-23,2019-06-04
435,Daniel,White,1978-11-26,2015-07-29
436,Axel,Gustafsson,1981-02-19,2015-05-18
437,Alva,Aberg,1968-06-15,2011-06-11
438,Mia,Schafer,1992-10-16,2021-06-13
439,Ebba,Bjork,1987-02-12,2020-10-13
440,Ebba,Lindberg,1978-04-20,2018-04-27
441,Luisa,Zimmermann,1998-11-07,2020-12-23
442,Elias,Hartmann,1982-04-02,2018-10-01
443,Baptiste,Dupont,1997-11-01,2019-08-30
444,Liam,Thomas,1983-07-29,2019-12-30
445,Emma,Hansen,1988-01-12,2013-11-16
446,Margaux,David,1993-09-22,2022-04-26
447,Axel,Sandberg,1976-05-08,2007-08-15
448,Charlotte,Hartmann,1985-06-24,2019-12-15
449,Josephine,Hansen,1981-08-13,2010-01-02
450,Sophie,Hoffmann,1982-10-10,2015-05-04
451,Emil,Gustafsson,1995-12-23,2020-07-06
452,Nora,Bjork,1973-04-29,2006-03-31
453,Louis,Simon,1978-09-28,2010-04-16
454,Jack,King,1992-02-25,2023-06-18
455,Sara,Hakansson,1977-08-18,2015-08-19
456,Alejandro,Ruiz,1984-02-05,2021-12-10
457,Ida,Olsson,1983-07-15,2014-09-10
458,Lea,Bertrand,1979-07-30,2010-04-21
459,Grace,Wilson,1984-12-04,2021-01-12
460,Sophie,Hartmann,1996-06-10,2018-01-22
461,Noah,Wagner,1995-07-12,2020-03-19
462,Agnes,Aberg,1996-01-28,2023-11-05
463,Chloe,Lambert,1984-03-25,2021-06-20
464,Ida,Olsson,1966-06-26,2009-10-11
465,Andreas,Madsen,1994-03-31,2016-06-14
466,Sienna,Roberts,2000-01-16,2023-06-13
467,Lea,Durand,1981-03-02,2018-11-08
468,Diego,Romero,1991-09-16,2022-10-04
469,Maja,Nilsson,2001-02-14,2023-06-06
470,Joel,Gustafsson,1993-12-29,2017-12-19
471,Alvaro,Perez,2001-05-12,2023-09-03
472,Oscar,Aberg,1990-03-03,2021-10-19
473,Jack,Brown,1995-01-29,2022-09-09
474,Johanna,Neumann,1996-05-28,2021-06-27
475,Antoine,Dubois,1985-02-21,2021-12-12
476,Henry,Thomas,1992-04-27,2020-01-25
477,Sophie,Kruger,1981-05-23,2013-07-15
478,Viktor,Sandberg,1994-04-27,2023-08-31
479,Lea,Robert,1988-09-20,2023-11-18
480,Pablo,Gonzalez,1992-08-29,2020-07-28
481,Emil,Nilsson,1993-02-15,2019-07-07
482,Noah,Sandberg,1986-05-23,2014-07-05
483,Emilia,Muller,1991-02-09,2018-05-10
484,Johan,Olsson,1997-01-18,2023-08-03
485,Emil,Lundqvist,1969-03-30,2010-09-18
486,Viktor,Sandberg,1974-02-03,2010-10-28
487,Hugo,Svensson,1992-03-18,2019-09-22
488,Nathan,Walker,1990-03-11,2022-12-07
489,Nicolas,Durand,2000-09-17,2023-12-21
490,Ethan,Smith,1986-12-10,2019-07-30
491,Sofia,Eklund,2001-09-10,2023-05-11
492,Ebba,Aberg,1997-06-27,2022-07-14
493,Noah,Poulsen,1987-11-19,2022-10-09
494,Noah,Richter,1994-03-20,2023-04-24
495,Axel,Nilsson,1990-08-21,2021-08-09
496,Daniel,Martinez,2001-12-17,2023-12-07
497,Elin,Bergstrom,1988-05-09,2020-12-18
498,Agnes,Andersson,1991-07-07,2021-05-14
499,Thomas,Thomas,1988-02-28,2021-05-24
500,Emma,Petit,1983-05-21,2018-08-05
501,Paul,Morel,1981-01-17,2013-05-31
502,Emil,Eriksson,1995-08-05,2020-07-07
503,Lucas,Dupont,1990-09-21,2022-07-20
504,Sofia,Olsson,1986-08-31,2020-06-10
505,Thomas,Dupont,1977-02-22,2006-05-09
506,Julie,Bernard,1994-07-29,2021-10-13
507,Freja,Pedersen,1983-05-23,2021-02-16
508,Jack,Walker,1990-04-14,2023-12-02
509,Joel,Svensson,1966-10-15,2010-10-30
510,Felix,Klein,1995-06-04,2023-02-07
511,Oliver,Sorensen,1991-11-23,2013-08-03
512,Louis,Girard,1993-11-04,2020-12-28
513,Ethan,King,1998-09-11,2020-10-06
514,Finn,Bauer,1999-12-15,2021-01-17
515,Ava,Brown,1991-02-21,2017-03-21
516,James,Roberts,1989-03-01,2019-05-09
517,Manuel,Jimenez,1991-02-10,2020-09-27
518,Agnes,Persson,1988-08-23,2013-09-29
519,Maja,Lindberg,1985-11-23,2019-12-12
520,Anna,Zimmermann,2000-05-15,2022-02-05
521,Moritz,Muller,1998-01-26,2023-05-18
522,Emma,Johnson,1993-09-18,2020-08-19
523,Luisa,Hartmann,1991-03-06,2022-01-13
524,Sophie,Neumann,1989-04-30,2021-03-23
525,Elin,Nilsson,1993-05-18,2018-10-31
526,Tim,Klein,1996-07-20,2018-02-12
527,Ava,Taylor,1994-05-31,2016-12-20
528,Clara,Girard,1985-01-28,2018-01-21
529,Maja,Larsson,2000-02-14,2023-01-13
530,Sara,Svensson,1975-05-03,2007-12-16
531,Elin,Johansson,1984-11-02,2018-05-21
532,Sara,Gustafsson,2001-05-23,2023-04-01
533,Nicolas,Fournier,1991-12-24,2022-08-20
534,Magnus,Kristensen,1988-07-11,2018-04-16
535,Clara,Durand,1999-11-22,2023-11-08
536,Sara,Nilsson,1997-10-27,2020-11-28
537,Marie,Klein,1976-03-01,2019-03-21
538,Frida,Holm,1975-10-07,2009-11-09
539,Viktor,Eriksson,1991-12-22,2023-12-29
540,Emilia,Hartmann,1989-09-26,2017-08-05
541,Emilia,Muller,1974-04-28,2014-12-12
542,Paul,Moreau,1995-06-18,2022-07-19
543,Alejandro,Alvarez,1982-07-02,2012-12-08
